Data/Hora,Extrusora (°C),Extrusora Alvo (°C),Extrusora Delta (°C),Extrusora PWM,Mesa (°C),Mesa Alvo (°C),Mesa Delta (°C),Mesa PWM,X (mm),Y (mm),Z (mm),E (mm),Aceleração (mm/s²),Jerk X (mm/s),Jerk Y (mm/s)
2025-04-01 11:17:23,199.45,200.0,-0.5500000000000114,76,60.01,60.0,0.009999999999998,28,132.64,61.93,0.2,77.31,,,
2025-04-01 11:17:24,198.93,200.0,-1.0699999999999932,86,60.01,60.0,0.009999999999998,30,,,,,500.0,10.0,10.0
2025-04-01 11:17:25,198.93,200.0,-1.0699999999999932,86,60.01,60.0,0.009999999999998,30,125.29,58.54,0.2,79.17,,,
2025-04-01 11:17:25,198.93,200.0,-1.0699999999999932,86,60.01,60.0,0.009999999999998,30,,,,,500.0,10.0,10.0
2025-04-01 11:17:27,198.79,200.0,-1.210000000000008,88,60.0,60.0,0.0,31,121.89,58.54,0.2,81.8,,,
2025-04-01 11:17:29,199.05,200.0,-0.9499999999999886,82,59.99,60.0,-0.009999999999998,35,,,,,500.0,10.0,10.0
2025-04-01 11:17:31,199.5,200.0,-0.5,72,59.97,60.0,-0.0300000000000011,41,118.5,58.54,0.2,85.39,,,
2025-04-01 11:17:33,200.09,200.0,0.0900000000000034,61,59.99,60.0,-0.009999999999998,35,,,,,500.0,10.0,10.0
2025-04-01 11:17:36,200.56,200.0,0.5600000000000023,52,60.0,60.0,0.0,34,115.11,58.54,0.2,89.94,,,
2025-04-01 11:17:41,200.25,200.0,0.25,63,60.01,60.0,0.009999999999998,31,,,,,500.0,10.0,10.0
2025-04-01 11:17:43,199.82,200.0,-0.1800000000000068,72,59.99,60.0,-0.009999999999998,39,111.71,58.54,0.2,95.45,,,
2025-04-01 11:17:48,199.64,200.0,-0.3600000000000136,73,60.01,60.0,0.009999999999998,32,,,,,500.0,10.0,10.0
2025-04-01 11:17:51,199.82,200.0,-0.1800000000000068,69,59.99,60.0,-0.009999999999998,36,108.32,58.54,0.2,101.91,,,
2025-04-01 11:17:57,200.38,200.0,0.3799999999999954,58,60.0,60.0,0.0,36,,,,,500.0,10.0,10.0
2025-04-01 11:18:01,200.11,200.0,0.1100000000000136,65,60.0,60.0,0.0,34,104.92,58.54,0.2,109.33,,,
2025-04-01 11:18:08,199.74,200.0,-0.2599999999999909,72,60.0,60.0,0.0,34,,,,,500.0,10.0,10.0
2025-04-01 11:18:15,200.16,200.0,0.1599999999999966,63,60.0,60.0,0.0,34,100.4,58.54,0.2,120.72,,,
2025-04-01 11:18:24,199.87,200.0,-0.1299999999999954,69,60.01,60.0,0.009999999999998,32,,,,,500.0,10.0,10.0
2025-04-01 11:18:29,199.96,200.0,-0.039999999999992,67,59.99,60.0,-0.009999999999998,38,97.0,58.54,0.2,130.38,,,
2025-04-01 11:18:38,200.09,200.0,0.0900000000000034,65,60.01,60.0,0.009999999999998,30,,,,,500.0,10.0,10.0
2025-04-01 11:18:48,199.99,200.0,-0.0099999999999909,66,60.0,60.0,0.0,37,92.48,58.54,0.2,144.75,,,
2025-04-01 11:18:54,200.05,200.0,0.0500000000000113,65,60.0,60.0,0.0,36,,,,,500.0,10.0,10.0
2025-04-01 11:19:05,199.94,200.0,-0.0600000000000022,67,60.0,60.0,0.0,33,89.08,58.54,0.2,156.64,,,
2025-04-01 11:19:17,200.05,200.0,0.0500000000000113,65,60.01,60.0,0.009999999999998,32,,,,,500.0,10.0,10.0
2025-04-01 11:19:29,200.0,200.0,0.0,66,60.01,60.0,0.009999999999998,30,85.56,59.54,0.2,173.85,,,
2025-04-01 11:19:42,199.96,200.0,-0.039999999999992,67,59.99,60.0,-0.009999999999998,35,,,,,500.0,10.0,10.0
2025-04-01 11:19:55,200.03,200.0,0.0300000000000011,65,60.01,60.0,0.009999999999998,31,85.56,64.06,0.2,190.23,,,
2025-04-01 11:20:09,199.99,200.0,-0.0099999999999909,66,59.98,60.0,-0.0200000000000031,38,,,,,500.0,10.0,10.0
2025-04-01 11:20:15,199.97,200.0,-0.0300000000000011,67,60.0,60.0,0.0,33,85.56,67.46,0.2,201.4,,,
2025-04-01 11:20:27,199.98,200.0,-0.0200000000000102,67,60.0,60.0,0.0,32,,,,,500.0,10.0,10.0
2025-04-01 11:20:38,199.99,200.0,-0.0099999999999909,66,60.01,60.0,0.009999999999998,28,85.56,71.98,0.2,214.8,,,
2025-04-01 11:20:49,199.99,200.0,-0.0099999999999909,66,59.99,60.0,-0.009999999999998,35,,,,,500.0,10.0,10.0
2025-04-01 11:20:59,200.01,200.0,0.0099999999999909,66,60.0,60.0,0.0,32,85.56,76.51,0.2,226.5,,,
2025-04-01 11:21:08,200.0,200.0,0.0,66,60.01,60.0,0.009999999999998,29,,,,,500.0,10.0,10.0
2025-04-01 11:21:13,199.99,200.0,-0.0099999999999909,66,60.01,60.0,0.009999999999998,27,85.56,79.9,0.2,234.16,,,
2025-04-01 11:21:21,199.96,200.0,-0.039999999999992,67,60.01,60.0,0.009999999999998,28,,,,,500.0,10.0,10.0
2025-04-01 11:21:25,200.05,200.0,0.0500000000000113,65,59.99,60.0,-0.009999999999998,33,85.56,83.29,0.2,240.86,,,
2025-04-01 11:21:33,200.01,200.0,0.0099999999999909,66,59.99,60.0,-0.009999999999998,34,,,,,500.0,10.0,10.0
2025-04-01 11:21:39,200.02,200.0,0.0200000000000102,66,60.01,60.0,0.009999999999998,30,85.56,87.82,0.2,248.3,,,
2025-04-01 11:21:43,200.01,200.0,0.0099999999999909,66,60.0,60.0,0.0,30,,,,,500.0,10.0,10.0
2025-04-01 11:21:48,200.0,200.0,0.0,66,60.01,60.0,0.009999999999998,27,85.56,91.21,0.2,252.76,,,
2025-04-01 11:21:51,199.98,200.0,-0.0200000000000102,67,60.0,60.0,0.0,31,,,,,500.0,10.0,10.0
2025-04-01 11:21:56,199.99,200.0,-0.0099999999999909,66,60.0,60.0,0.0,30,85.56,94.61,0.2,256.27,,,
2025-04-01 11:21:58,199.96,200.0,-0.039999999999992,67,60.02,60.0,0.0200000000000031,25,,,,,500.0,10.0,10.0
2025-04-01 11:22:02,199.98,200.0,-0.0200000000000102,66,60.0,60.0,0.0,32,85.56,98.0,0.2,258.81,,,
2025-04-01 11:22:05,200.0,200.0,0.0,66,60.0,60.0,0.0,32,,,,,500.0,10.0,10.0
2025-04-01 11:22:06,200.0,200.0,0.0,66,60.0,60.0,0.0,32,85.56,101.4,0.2,260.4,,,
2025-04-01 11:22:09,199.99,200.0,-0.0099999999999909,66,60.0,60.0,0.0,31,,,,,500.0,10.0,10.0
2025-04-01 11:22:09,199.99,200.0,-0.0099999999999909,66,60.0,60.0,0.0,31,85.56,104.79,0.2,261.04,,,
2025-04-01 11:22:11,199.99,200.0,-0.0099999999999909,66,59.99,60.0,-0.009999999999998,33,80.82,111.13,0.2,264.3,,,
2025-04-01 11:22:11,199.99,200.0,-0.0099999999999909,66,59.99,60.0,-0.009999999999998,33,,,,,500.0,10.0,10.0
2025-04-01 11:22:12,199.99,200.0,-0.0099999999999909,66,59.99,60.0,-0.009999999999998,33,130.78,110.85,0.2,275.71,,,
2025-04-01 11:22:14,199.99,200.0,-0.0099999999999909,66,59.98,60.0,-0.0200000000000031,36,,,,,500.0,10.0,10.0
2025-04-01 11:22:33,205.98,200.0,5.97999999999999,0,59.99,60.0,-0.009999999999998,34,80.22,61.81,0.2,295.27,,,
2025-04-01 11:22:39,203.83,200.0,3.830000000000013,0,60.02,60.0,0.0200000000000031,26,,,,,500.0,10.0,10.0
2025-04-01 11:23:03,157.42,200.0,-42.58000000000001,127,60.0,60.0,0.0,29,129.82,112.28,0.2,300.15,,,
2025-04-01 11:23:08,200.2,200.0,0.1999999999999886,0,59.99,60.0,-0.009999999999998,33,,,,,500.0,10.0,10.0
2025-04-01 11:23:14,199.69,200.0,-0.3100000000000023,0,60.01,60.0,0.009999999999998,27,125.38,111.81,0.2,300.86,,,
2025-04-01 11:23:14,197.93,200.0,-2.069999999999993,30,60.01,60.0,0.009999999999998,27,,,,,500.0,10.0,10.0
2025-04-01 11:23:15,197.93,200.0,-2.069999999999993,30,60.01,60.0,0.009999999999998,27,129.82,119.63,0.2,302.88,,,
2025-04-01 11:23:16,197.93,200.0,-2.069999999999993,30,60.01,60.0,0.009999999999998,27,,,,,500.0,10.0,10.0
2025-04-01 11:23:17,195.89,200.0,-4.110000000000014,88,60.0,60.0,0.0,29,129.82,123.03,0.2,305.65,,,
2025-04-01 11:23:19,194.01,200.0,-5.990000000000009,127,60.0,60.0,0.0,29,,,,,500.0,10.0,10.0
2025-04-01 11:23:21,193.41,200.0,-6.590000000000003,127,60.0,60.0,0.0,30,129.82,126.42,0.2,309.37,,,
2025-04-01 11:23:24,194.11,200.0,-5.889999999999986,127,59.98,60.0,-0.0200000000000031,35,,,,,500.0,10.0,10.0
