Tipo de Peça,id_peça,Data,Speed Factor,Média Delta temp_nozzle,Máximo Delta temp_nozzle,Média Delta Mesa (°C),Tempo Fora do Intervalo Extrusora (%),Taxa de Extrusão (mm/min),Tempo Ativo de Extrusão (%),Variação X,Variação Y,Variação Z,X_max,X_min,Y_max,Y_min,Média PWM Extrusora,Desvio Padrão PWM Extrusora,Média PWM Bed,Desvio Padrão PWM Bed,d1,d2,d3,d4,d5,d6,d7,Resultado
QUADRADO,1,2025-04-29 10:45:07/11:53:34,100.0,0.0012252964426893,0.8499999999999943,0.0010474308300393,0.0,50.08429510591672,100.0,17.346627927223903,18.586995992899823,4.593894676754774,145.63,75.16,144.94,74.71,71.01383399209486,2.8510561399209284,33.75,3.71,49.4,49.2,12.1,,,,,OK
L,2,2025-04-29 12:25:51/15:30:12,100.0,-0.0056778169014074,0.6100000000000136,0.000651408450704,0.0,7.268565229183618,100.0,34.123137166018225,32.23704454318822,4.515034274543981,169.8,50.26,170.19,50.52,71.16637323943662,2.448330449347848,31.82,3.96,98.8,99.4,49.2,49.2,49.4,49.4,12.2,OK
QUADRADO,5,2025-05-07 09:23:20/10:29:42,100.0,-0.0002788844621504,0.1200000000000045,-0.0002788844621515,0.0,50.1364640883978,99.00199600798403,18.3115085636912,17.511901468420582,4.621947990383108,143.85,75.16,144.89,75.62,70.49203187250995,1.6179310409512306,34.11,3.64,49.5,49.2,11.9,,,,,OK
QUADRADO,6,2025-05-07 13:52:32/15:00:55,100.0,-0.000233545647557,0.5600000000000023,0.0009129511677281,0.0,50.10212039970753,97.02127659574468,17.773009661647222,18.25248701529712,4.499041283388676,145.1,75.45,145.63,75.11,70.81953290870489,2.090332508030117,33.98,4.13,49.4,49.2,11.9,,,,,OK
QUADRADO,7,2025-05-08 10:27:17/11:35:43,100.0,-0.0031302521008392,0.2800000000000011,0.0006512605042014,0.0,49.96921578178276,99.1578947368421,18.3169432470466,18.04021507056396,4.618933950867984,143.85,75.11,145.29,74.81,70.89075630252101,1.8819471035304127,34.27,3.75,49.3,49.2,11.9,,,,,OK
RETANGULO,8,2025-05-12 09:03:02/11:10:30,100.0,-0.0080710659898468,1.3199999999999932,2.5380710659623164e-05,0.0,18.669037656903765,98.856416772554,18.714383853790125,34.73938713630778,4.601524233362316,144.55,74.37,170.16,50.52,70.98730964467005,2.5109349409271577,33.24,3.73,98.9,49.4,11.9,,,,,OK
RETANGULO,9,2025-05-12 13:14:28/15:20:17,100.0,-0.0119162436548217,0.4300000000000068,0.0002918781725885,0.0,18.43785931911512,99.23761118170266,18.379315953995683,34.64774577156196,4.528891577981575,142.09,75.16,169.74,50.9,70.75380710659898,2.0234453547814897,32.43,3.65,99.0,49.3,11.9,,,,,OK
RETANGULO,10,2025-05-13 08:58:31/11:05:51,100.0,-0.0120341047503037,0.4000000000000057,-0.0001461632155908,0.0,18.671387434554973,98.65853658536584,18.70659534225438,33.66927872345557,4.575413981286074,144.84,74.75,170.53,50.52,70.68331303288673,2.1633480681772026,33.06,3.81,99.5,50.2,12.0,,,,,OK
RETANGULO,12,2025-05-13 12:52:50/15:00:17,100.0,-0.0096704689480347,0.9300000000000068,-0.0001013941698354,0.0,18.670615927814826,99.36548223350252,18.53688053829623,33.79163228482048,4.564591688643982,144.55,74.77,169.45,49.8,70.57541191381496,2.3307596066671223,32.78,3.92,98.8,49.5,12.0,,,,,OK
RETANGULO,13,2025-05-14 09:07:32/11:05:12,100.0,-0.0114754098360653,0.1800000000000068,0.0001765447667085,0.0,18.86396600566572,99.24242424242424,18.340447059009723,32.669874535258934,4.493689410486338,143.85,75.11,169.52,54.37,70.78814627994956,1.970235774946285,32.63,3.77,99.2,49.8,12.0,,,,,OK
